Batch Size,Sequence Length,Fused,Unfused,% Speedup
1,8192,0.001846409467992063,0.0017697922886430355,4.32916223223985
2,8192,0.0028051404242106876,0.00271832606602386,3.1936697834712806
4,8192,0.0027190298116465954,0.0028594323644049635,-4.910154704344103
8,8192,0.0027943200683502012,0.002730067214347244,2.353526450385215
16,8192,0.0027018285089033074,0.002792148743671817,-3.2347930952179196
32,8192,0.002696254580965946,0.002656191962100854,1.5082727241372034
